id,prob,pred_class,true_class
D040122@024051W0019145455F00093433I02K42842169,0.999768853187561,0,0
D042322@064523W0019196898F00000251I02K43063099,0.998304009437561,0,0
D040322@155458W0018895689F00001064I02K42871671,0.9999381303787231,0,0
D040122@024051W0019145455F00098949I02K42842169,0.9999510049819946,0,0
D040122@050054W0019430332F00031208I02K42843229,0.9991248250007629,0,0
D040122@050054W0019430334F00001131I02K42843233,0.9999030232429504,0,0
D040322@155458W0018895689F00000040I02K42871671,0.9997898936271667,0,0
D042322@064523W0019196898F00000833I02K43063099,0.9987185597419739,0,0
D052422@094246W0019138970F00000208I02K43459130,0.9996756315231323,0,0
D042322@064523W0019129546F00001361I02K43063112,0.999799370765686,0,0
D041422@212551W0019093573F00000717I02K42961238,0.9995380640029907,0,0
D041722@112720W0018781059F00000919I02K42992492,0.9998931884765625,0,0
D042322@064523W0019196909F00003306I02K43063123,0.9999078512191772,0,0
D041522@223018W0019122977F00011790I02K42973995,0.9996477365493774,0,0
D041522@223018W0018869774F00011167I02K42974005,0.9982719421386719,0,0
D040122@024051W0019145457F00016253I02K42842164,0.9999880790710449,0,0
D042122@142325W0019353189F00023985I02K43041084,0.9996095895767212,0,0
D041522@212430W0019528583F00000374I02K42973883,0.9996245503425598,0,0
D041922@171620W0019412600F00002561I02K43017316,0.9999887347221375,0,0
D042322@064523W0019129549F00000405I02K43063134,0.9999154806137085,0,0
D040322@081659W0019281990F00000128I02K42867189,0.9999601244926453,0,0
D052422@094246W0019138970F00000423I02K43459130,0.9998918771743774,0,0
D041522@214940W0019196887F00000287I02K42974662,0.9998911023139954,0,0
D042322@064523W0019196909F00003313I02K43063123,0.9997047185897827,0,0
D043022@064142W0019548028F00014417I02K43146657,0.9999374151229858,0,0
D040322@155458W0018895689F00000442I02K42871671,0.9660677909851074,0,0
D041822@193344W0019505405F00000012I02K43005019,0.999061107635498,0,0
D041422@150403W0019316182F00001690I02K42959131,0.9999143481254578,0,0
D041422@150403W0019316182F00047637I02K42959131,0.9674263000488281,0,0
D041922@171620W0019412600F00017460I02K43017316,0.999860405921936,0,0
D042322@064523W0019196898F00000618I02K43063099,0.9903439283370972,0,0
D042122@142325W0019353189F00007544I02K43041084,0.9996362924575806,0,0
D043022@064142W0019548028F00006654I02K43146657,0.9999345541000366,0,0
D042622@091034W0019159468F00000529I02K43097152,0.9849576950073242,0,0
D041522@223018W0018869774F00022964I02K42974005,0.999833881855011,0,0
D040322@155458W0018895689F00000201I02K42871671,0.9999113082885742,0,0
D041522@214940W0019196887F00000112I02K42974662,0.9996508359909058,0,0
D050122@203656W0019138873F00000358I02K43163970,0.9998105764389038,0,0
D043022@064142W0019548021F00034108I02K43146663,0.9995619058609009,0,0
D042922@042703W0019685927F00000181I02K43133318,0.9998299479484558,0,0
D042322@064523W0019196909F00000118I02K43063123,0.9995064735412598,0,0
D041522@223018W0018869774F00012342I02K42974005,0.9999812245368958,0,0
D041422@150403W0019316180F00005289I02K42959137,0.9786767959594727,0,0
D042322@064523W0019196909F00002429I02K43063123,0.9998094439506531,0,0
D041422@212551W0019093573F00000493I02K42961238,0.4952974319458008,0,0
D042322@064523W0019196909F00002929I02K43063123,0.9976558685302734,0,0
D042322@064523W0019129549F00000968I02K43063134,0.9993127584457397,0,0
D042322@064523W0019196898F00000343I02K43063099,0.9997413754463196,0,0
D041522@223018W0018869774F00029554I02K42974005,0.9684889912605286,0,0
D051722@172851W0019520804F00000199I02K43362118,0.9991198778152466,0,0
D041422@150403W0019316182F00021657I02K42959131,0.9986108541488647,0,0
D040122@050054W0019430334F00011899I02K42843233,0.9997537732124329,0,0
D041522@223018W0018869774F00028632I02K42974005,0.9993256330490112,0,0
D040122@050054W0019430332F00015589I02K42843229,0.9999080896377563,0,0
D040122@024051W0019145455F00000036I02K42842169,0.999945342540741,0,0
D040122@024051W0019145455F00100047I02K42842169,0.9999748468399048,0,0
D042322@064523W0019129546F00001430I02K43063112,0.999310314655304,0,0
D042322@064523W0019196898F00001150I02K43063099,0.9991404414176941,0,0
D040122@024051W0019145455F00097022I02K42842169,0.9999538660049438,0,0
D041522@214940W0019196887F00000184I02K42974662,0.9998539686203003,0,0
D040322@155458W0018895689F00001065I02K42871671,0.9998490214347839,0,0
D040322@081659W0019281990F00000185I02K42867189,0.9999028444290161,0,0
D040122@050054W0019430334F00019014I02K42843233,0.9995515942573547,0,0
D042922@042703W0019685770F00000056I02K43133329,0.9999826550483704,0,0
D040322@155458W0018895689F00000436I02K42871671,0.9831534624099731,0,0
D041722@163148W0019868575F00055183I02K42997100,0.9985504150390625,0,0
D041522@214940W0019196887F00000095I02K42974662,0.9999092817306519,0,0
D042322@064523W0019129546F00000784I02K43063112,0.9985801577568054,0,0
D040322@155458W0018832206F00000249I02K42871687,0.9982072710990906,0,0
D041522@223018W0019122977F00023455I02K42973995,0.9997318387031555,0,0
D050122@203656W0019138873F00000299I02K43163970,0.999625563621521,0,0
D041522@223018W0019123370F00023601I02K42974008,0.9998459815979004,0,0
D041322@021727W0019766621F00000057I02K42941224,0.9998412132263184,0,0
D042222@053801W0019227992F00000196I02K43047919,0.9998372793197632,0,0
D042922@042703W0019685770F00000182I02K43133329,0.999701201915741,0,0
D040122@003800W0019380147F00030869I02K42843042,0.9999681711196899,0,0
D040322@155458W0018832206F00000374I02K42871687,0.9996640086174011,0,0
D041522@214940W0019196887F00000372I02K42974662,0.9998785257339478,0,0
D042322@064523W0019196898F00000372I02K43063099,0.9999572038650513,0,0
D041522@214940W0019196922F00000207I02K42974649,0.9999364614486694,0,0
D042322@064523W0019196898F00000538I02K43063099,0.999843955039978,0,0
D041922@171620W0019412606F00015002I02K43017310,0.9998310804367065,0,0
D041522@223018W0018869774F00026238I02K42974005,0.9997873306274414,0,0
D041422@150403W0019316182F00047634I02K42959131,0.982154369354248,0,0
D040122@024051W0019145455F00019958I02K42842169,0.9998985528945923,0,0
D041422@150403W0019316180F00003399I02K42959137,0.9998267292976379,0,0
D041522@214940W0019196922F00000312I02K42974649,0.9997687339782715,0,0
D041522@223018W0019122977F00011169I02K42973995,0.9978188276290894,0,0
D040222@234022W0019805194F00003680I02K42863078,0.9999181032180786,0,0
D041522@223018W0018869774F00027712I02K42974005,0.9998461008071899,0,0
D041522@223018W0018869774F00019135I02K42974005,0.9997820854187012,0,0
D041422@212551W0019093573F00000412I02K42961238,0.9998462796211243,0,0
D041522@223018W0019123370F00002188I02K42974008,0.7384637594223022,0,0
D042322@064523W0019129549F00000942I02K43063134,0.9994810819625854,0,0
D041522@223018W0019123370F00017210I02K42974008,0.9998576045036316,0,0
D041922@171620W0019412600F00004136I02K43017316,0.9893189668655396,0,0
D041522@212430W0019528583F00000542I02K42973883,0.9998356103897095,0,0
D042322@064523W0019196898F00001118I02K43063099,0.9934399724006653,0,0
D041522@214940W0019196887F00000186I02K42974662,0.9995975494384766,0,0
D042122@142325W0019353189F00027703I02K43041084,0.999974250793457,0,0
D042322@064523W0019129546F00000666I02K43063112,0.9998027682304382,0,0
D041922@171620W0019412606F00019195I02K43017310,0.9999635815620422,0,0
D041522@223018W0018869774F00018048I02K42974005,0.9994969367980957,0,0
D041422@150403W0019316180F00018188I02K42959137,0.9976681470870972,0,0
D042322@064523W0019129546F00000735I02K43063112,0.933601975440979,0,0
D041522@223018W0019123370F00018585I02K42974008,0.999947726726532,0,0
D040122@003800W0019380136F00017966I02K42843045,0.9998706579208374,0,0
D040122@050054W0019430334F00012050I02K42843233,0.9985416531562805,0,0
D041522@214940W0019196922F00000468I02K42974649,0.9999872446060181,0,0
D042322@064523W0019129546F00000248I02K43063112,0.9991615414619446,0,0
D040122@024051W0019145455F00154790I02K42842169,0.9997919201850891,0,0
D041522@223018W0019123370F00011408I02K42974008,0.9992507696151733,0,0
D041422@150403W0019316180F00025975I02K42959137,0.9998013377189636,0,0
D042322@064523W0019196898F00000511I02K43063099,0.9998043775558472,0,0
D042322@064523W0019129549F00000608I02K43063134,0.9964122772216797,0,0
D041522@223018W0018869774F00015082I02K42974005,0.9999145269393921,0,0
D042922@042703W0019685770F00000222I02K43133329,0.9997085332870483,0,0
D041522@212430W0019530485F00000106I02K42973877,0.9999605417251587,0,0
D041922@171620W0019412600F00012640I02K43017316,0.9993076324462891,0,0
D042322@064523W0019196898F00000328I02K43063099,0.9999327659606934,0,0
D040122@003800W0019380136F00009494I02K42843045,0.9619057774543762,0,0
D041522@223018W0019122977F00009119I02K42973995,0.999526858329773,0,0
D040122@024051W0019145455F00092780I02K42842169,0.9988600015640259,0,0
D040122@024051W0019145455F00100266I02K42842169,0.999969482421875,0,0
D041522@214940W0019196887F00000015I02K42974662,0.9999153017997742,0,0
D041922@171620W0019412600F00026750I02K43017316,0.9999855160713196,0,0
D041422@212551W0019093573F00000387I02K42961238,0.999716579914093,0,0
D042322@064523W0019196898F00000140I02K43063099,0.9998575448989868,0,0
D040122@024051W0019145455F00100642I02K42842169,0.9930752515792847,0,0
D041422@150403W0019316182F00023289I02K42959131,0.999917209148407,0,0
D041522@223018W0019123370F00027347I02K42974008,0.9999869465827942,0,0
D041522@212430W0019530485F00000081I02K42973877,0.9997061491012573,0,0
D041522@223018W0019122977F00024099I02K42973995,0.9998920559883118,0,0
D041522@223018W0018869774F00000723I02K42974005,0.9999626874923706,0,0
D041522@223018W0019122977F00026529I02K42973995,0.9998213052749634,0,0
D050122@203656W0019138873F00000004I02K43163970,0.9999597668647766,0,0
D040322@155458W0018895689F00000092I02K42871671,0.99998539686203,0,0
D040122@050054W0019430334F00011548I02K42843233,0.9991570711135864,0,0
D040322@155458W0018895689F00000368I02K42871671,0.9628400802612305,0,0
D042322@064523W0019129549F00000394I02K43063134,0.9999054670333862,0,0
D040322@155458W0018832206F00000370I02K42871687,0.9997453689575195,0,0
D041522@223018W0019122977F00018697I02K42973995,0.9999011754989624,0,0
D041522@223018W0019122977F00002835I02K42973995,0.9999891519546509,0,0
D052422@094246W0019138972F00000190I02K43459134,0.999914288520813,0,0
D041422@150403W0019316180F00009639I02K42959137,0.9997738599777222,0,0
D042322@064523W0019196909F00002055I02K43063123,0.9886194467544556,0,0
D042322@064523W0019196898F00000178I02K43063099,0.99986332654953,0,0
D040122@050054W0019430332F00000895I02K42843229,0.9999469518661499,0,0
D041522@223018W0018869774F00015508I02K42974005,0.9999685287475586,0,0
D041522@223018W0018869774F00020548I02K42974005,0.9998903274536133,0,0
D041522@223018W0019122977F00004377I02K42973995,0.9990842938423157,0,0
D042322@064523W0019129546F00001376I02K43063112,0.9975250363349915,0,0
D041522@223018W0018869774F00010793I02K42974005,0.9998303651809692,0,0
D042322@064523W0019129549F00001243I02K43063134,0.9997417330741882,0,0
D042322@064523W0019129546F00000911I02K43063112,0.9994291067123413,0,0
D041322@021727W0019766624F00000016I02K42941229,0.999749481678009,0,0
D042322@064523W0019196898F00001104I02K43063099,0.9994904398918152,0,0
D041522@223018W0019122977F00000584I02K42973995,0.9821565747261047,0,0
D041522@214940W0019196887F00000212I02K42974662,0.9999135732650757,0,0
D041522@223018W0019122977F00000461I02K42973995,0.999981701374054,0,0
D040222@103038W0018858726F00001010I02K42858603,0.999963641166687,0,0
D041422@212551W0019093571F00000650I02K42961226,0.9996272921562195,0,0
D041522@223018W0018869774F00001075I02K42974005,0.9999759793281555,0,0
D041922@171620W0019412606F00004938I02K43017310,0.9998763799667358,0,0
D042422@063756W0019384167F00018634I02K43072684,0.9716456532478333,0,0
D041522@223018W0019123370F00024245I02K42974008,0.9998229146003723,0,0
D042322@064523W0019129546F00001371I02K43063112,0.998537540435791,0,0
D040122@050054W0019430334F00019495I02K42843233,0.9998764991760254,0,0
D041422@212551W0019093571F00000560I02K42961226,0.9971685409545898,0,0
D041522@212430W0019530485F00000232I02K42973877,0.9997521638870239,0,0
D042322@064523W0019196909F00003132I02K43063123,0.9993200302124023,0,0
D043022@064142W0019548028F00011506I02K43146657,0.9998126029968262,0,0
D040322@131126W0019163859F00000636I02K42870360,0.994304358959198,0,0
D042322@064523W0019129546F00001156I02K43063112,0.9993737936019897,0,0
D040122@003800W0019380147F00020647I02K42843042,0.9998458623886108,0,0
D041522@214940W0019196922F00000124I02K42974649,0.9998315572738647,0,0
D040122@003800W0019380147F00025214I02K42843042,0.9535759687423706,0,0
D040122@003800W0019380136F00019048I02K42843045,0.9998235702514648,0,0
D042322@064523W0019196898F00000228I02K43063099,0.9997108578681946,0,0
D052422@094246W0019138972F00000157I02K43459134,0.9996832013130188,0,0
D042322@064523W0019196898F00000634I02K43063099,0.9999233484268188,0,0
D042322@064523W0019196909F00002526I02K43063123,0.9999427795410156,0,0
D042322@064523W0019196909F00000003I02K43063123,0.9995441436767578,0,0
D041522@223018W0019122977F00013645I02K42973995,0.9999752044677734,0,0
D041422@150403W0019316180F00038086I02K42959137,0.9949358701705933,0,0
D041522@223018W0018869774F00009660I02K42974005,0.9995161294937134,0,0
D042622@091034W0019159405F00002713I02K43097146,0.9997586011886597,0,0
D041422@150403W0019316180F00025513I02K42959137,0.9995654225349426,0,0
D041922@171620W0019412606F00021449I02K43017310,0.7584713697433472,0,0
D041422@150403W0019316182F00030895I02K42959131,0.9388500452041626,0,0
D042322@064523W0019196909F00000036I02K43063123,0.9985368847846985,0,0
D041422@150403W0019316182F00000641I02K42959131,0.9998613595962524,0,0
D041422@150403W0019316182F00020334I02K42959131,0.9998987913131714,0,0
D040322@081659W0019281990F00000234I02K42867189,0.9999839067459106,0,0
D040122@024051W0019145457F00017472I02K42842164,0.9984129071235657,0,0
D041422@150403W0019316180F00005503I02K42959137,0.9999419450759888,0,0
D041522@223018W0019123370F00010808I02K42974008,0.999413788318634,0,0
D042322@064523W0019196898F00000885I02K43063099,0.9987990260124207,0,0
D040122@050054W0019430332F00023469I02K42843229,0.9430343508720398,0,0
D043022@064142W0019548021F00047148I02K43146663,0.9823412895202637,0,0
D041522@223018W0018869774F00018967I02K42974005,0.9999040365219116,0,0
D042922@080027W0019395606F00000032I02K43133508,0.9999062418937683,0,0
D042322@064523W0019196898F00001058I02K43063099,0.9999187588691711,0,0
D041422@212551W0019093573F00000443I02K42961238,0.9980328679084778,0,0
D040322@155458W0018832206F00000223I02K42871687,0.9751250147819519,0,0
D040122@024051W0019145455F00107592I02K42842169,0.9969459772109985,0,0
D041522@223018W0019122977F00009925I02K42973995,0.9997265934944153,0,0
D043022@064142W0019548021F00057500I02K43146663,0.9998699426651001,0,0
D052422@094246W0019138970F00000222I02K43459130,0.999988853931427,0,0
D042322@064523W0019196898F00000545I02K43063099,0.9994060397148132,0,0
